Date,ALL,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN
2022/5/20,35041.0,0.9847431706369757,0.9601591223827147
2022/5/21,35942.0,0.9773794385209821,0.9660963560729395
2022/5/22,26838.0,0.9697983130441213,0.9716819713158382
2022/5/23,12821.0,0.9738784497210199,0.9737676509658201
2022/5/24,37885.0,0.9641002177541665,0.9731395082405632
2022/5/25,34736.0,0.9422492271065094,0.9673426032014976
2022/5/26,28169.0,0.9290773908916738,0.9583793810229518
2022/5/27,24963.0,0.9150333331818533,0.9472617729589885
2022/5/28,25039.0,0.9007671497218964,0.9362863714290455
2022/5/29,17390.0,0.8989292489843758,0.9269451500752556
2022/5/30,8375.0,0.9270468519461699,0.9231952012042877
2022/5/31,24867.0,0.9035154113467733,0.9099147760729615
2022/6/1,22874.0,0.8590823360161308,0.8991404547924046
2022/6/2,19362.0,0.8736142449201719,0.8940523530028982
2022/6/3,17939.0,0.895626891354655,0.8936502849221533
2022/6/4,17948.0,0.9012038916497516,0.8941761847682493
2022/6/5,13368.0,0.918194131590183,0.899080837315077
2022/6/6,6612.0,0.9550697060308337,0.9018168633678745
2022/6/7,20119.0,0.9478005018719986,0.9114571906846102
2022/6/8,18256.0,0.9238350817272506,0.9207365807989671
2022/6/9,15918.0,0.931806262793727,0.9284060597077501
2022/6/10,14735.0,0.9414809337699377,0.9339657325353529
2022/6/11,15442.0,0.9481663035584604,0.9419790419931475
2022/6/12,11877.0,0.9626294925015895,0.9466624000936708
2022/6/13,6027.0,0.9801244614648157,0.948974250517967
2022/6/14,17777.0,0.9715712079565653,0.9533859711421755
2022/6/15,16542.0,0.960380565377928,0.9595517537402836
2022/6/16,14869.0,0.972378838771593,0.9650666158348221
2022/6/17,13894.0,0.980776663479729,0.9708279868729616
2022/6/18,15317.0,0.9900687783363662,0.9770645336098457
2022/6/19,11652.0,0.9963703488613266,0.9804310109587009
2022/6/20,5737.0,0.9946522953594384,0.9811806635832345
2022/6/21,18270.0,1.0021128666291972,0.989139651061842
2022/6/22,17290.0,1.012955693823861,0.9962364655106809
2022/6/23,16113.0,1.0206894402841682,1.0029383037709556
2022/6/24,14910.0,1.023292005482897,1.0083887539400973
2022/6/25,16538.0,1.0227631190662745,1.012291427414482
2022/6/26,13018.0,1.0260552528477476,1.0168826496674492
2022/6/27,7204.0,1.0281862501243657,1.0219272698897395
2022/6/28,23103.0,1.0618398837802818,1.033842493859183
2022/6/29,23836.0,1.1101090543142738,1.049021356241428
2022/6/30,23008.0,1.1242512202336932,1.0627857798872227
2022/7/1,23131.0,1.1317619985704572,1.0796572580922967
2022/7/2,24885.0,1.1362309545540508,1.0952177297366497
2022/7/3,23269.0,1.1432400375852987,1.113537787883248
2022/7/4,16791.0,1.143561167999421,1.129007755012751
2022/7/5,36167.0,1.1525977525667628,1.1399393374199436
2022/7/6,45797.0,1.22164495041861,1.1603172318743245
2022/7/7,47961.0,1.274211366147048,1.181458150588479
2022/7/8,50082.0,1.2688657743151963,1.198851739905643
2022/7/9,54993.0,1.2617373314801308,1.2173599512673046
2022/7/10,54046.0,1.2485589013357719,1.229419857484358
2022/7/11,37124.0,1.1858140042172618,1.230045170977513
2022/7/12,75995.0,1.1967093582529256,1.2426833686841299
2022/7/13,94466.0,1.2713217034061992,1.2441332735649284
2022/7/14,97768.0,1.269061579571473,1.2412463313196198
2022/7/15,103287.0,1.2484210221695964,1.2383725087388637
2022/7/16,110660.0,1.2343984808622226,1.2335018744902546
2022/7/17,105550.0,1.2070221121583067,1.2264591036122212
2022/7/18,76164.0,1.1579220924188884,1.2251416886394109
2022/7/19,66725.0,1.0476434344242618,1.180717155846097
2022/7/20,152495.0,1.0734443959089608,1.1673288028924607
2022/7/21,186209.0,1.2237481286853442,1.1685149085849207
2022/7/22,195136.0,1.2529856914133044,1.1685466901638535
2022/7/23,200937.0,1.227347738706013,1.1666040277477563
2022/7/24,176517.0,1.1805767247258772,1.1611737509718314
2022/7/25,126535.0,1.1234093017200697,1.156561702589909
2022/7/26,196453.0,1.1708422541437302,1.1986513892692472
2022/7/27,209657.0,1.1691995140119904,1.1851447572750542
2022/7/28,233066.0,1.08427490638282,1.1579181325202803
2022/7/29,221409.0,1.0566265358776687,1.1288117318654531
2022/7/30,222274.0,1.0355749566054273,1.103052328084885
2022/7/31,197750.0,1.0311965492527337,1.0860129649574224
2022/8/1,139668.0,1.0247966860786877,1.074474291997582
2022/8/2,211040.0,1.0196994763862122,1.043961949456508
2022/8/3,249805.0,1.0385382569738157,1.0387030845848269
2022/8/4,238710.0,1.0319138259793263,1.0293023454400998
2022/8/5,233730.0,1.0121795619289877,1.026027176924433
2022/8/6,227536.0,1.011875141829027,1.022516243861059
2022/8/7,206463.0,1.0093604924925166,1.0197720566185313
2022/8/8,137826.0,1.004586050690177,1.0167135812194312
2022/8/9,212531.0,0.9997670795088364,1.014036470140096
