Date,ALL,ä¥êıé“_MAV,ä¥êıé“_TMA,é¿å¯çƒê∂éYêîC,é¿å¯çƒê∂éYêîK,é¿å¯çƒê∂éYêîK_7ïΩãœ,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN,é¿å¯çƒê∂éYêîB_dì˙å„,é¿å¯çƒê∂éYêîN_dì˙å„
2022/4/28,38667.0,32251.571428571428,32970.32653061224,0.9051763744730087,0.9204745194496341,0.9188988121668802,0.9581587719807068,0.9689092110568943,0.9205164537180553,0.9294467100123738
2022/4/29,34805.0,32008.85714285714,31039.734693877544,0.8809964925347862,0.8969503216100613,0.9189412722995216,0.9457681666804728,0.9643547634656061,0.919228502746929,0.9297455160889705
2022/4/30,15785.0,30763.285714285714,28893.795918367345,0.8546393825717061,0.8763575905607145,0.9226533883963588,0.9305452121009286,0.9566331985023457,0.9212816647071823,0.9370297466029957
2022/5/1,26647.0,27245.285714285714,28002.14285714286,0.8707518557272051,0.9021386018053228,0.9301020100182015,0.9205164537180553,0.9483785724811593,0.9271134022252763,0.9531717796506344
2022/5/2,14983.0,24494.85714285714,27533.204081632655,0.9044063840476929,0.9529105888136428,0.9474528558523616,0.919228502746929,0.940662449904384,0.9430995953642878,0.9734678867636516
2022/5/3,38970.0,22211.428571428572,27202.0,0.9371889127903242,0.9714256561997806,0.977517045931127,0.9212816647071823,0.9339632427527547,0.9730514064077954,0.9959538314078783
2022/5/4,20860.0,27039.714285714286,27270.448979591838,0.9725659540050444,0.9904567916882546,1.01741084954515,0.9271134022252763,0.9294467100123738,1.0152249217572162,1.0197825650991017
2022/5/5,19414.0,28969.0,28342.591836734697,1.0276292895242396,1.0419304402887544,1.0513198893395521,0.9430995953642878,0.9297455160889705,1.0520113739608237,1.0430075919308244
2022/5/6,18821.0,29690.428571428572,30199.285714285714,1.0950310035488338,1.1073996521614187,1.070466308977797,0.9730514064077954,0.9370297466029957,1.0719180651422022,1.0611996703739601
2022/5/7,49583.0,31242.428571428572,32753.10204081633,1.1631839159940043,1.1556142158588754,1.0835886614293402,1.0152249217572162,0.9531717796506344,1.0840349006271022,1.0708219114144788
2022/5/8,40152.0,34750.28571428572,34412.142857142855,1.170409391844814,1.1395018803661392,1.0915120591235634,1.0520113739608237,0.9734678867636516,1.0896870245064325,1.069084081585757
2022/5/9,20033.0,37491.71428571428,35600.510204081635,1.1419083342577803,1.0869355262813554,1.0883541978597593,1.0719180651422022,0.9959538314078783,1.0841038619073098,1.0609386409245922
